Year,Actor,Character,Film,Best_Actor,Best_Actress,Best_Supporting_Actor,Best_Supporting_Actress
2021,Alana Haim,Alana Kane,Licorice Pizza,0.0,1.0,0.0,0.0
2021,Nicole Kidman,Lucille Ball,Being the Ricardos,0.0,1.0,0.0,0.0
2021,Kristen Stewart,Princess Diana,Spencer,0.0,1.0,0.0,0.0
2022,Cate Blanchett,Lydia Tár,Tár,0.0,1.0,0.0,0.0
2022,Viola Davis,General Nanisca,The Woman King,0.0,1.0,0.0,0.0
2022,Danielle Deadwyler,Mamie Till,Till,0.0,1.0,0.0,0.0
2022,Margot Robbie,Nellie LaRoy,Babylon,0.0,1.0,0.0,0.0
2022,Michelle Williams,Mitzi Fabelman,The Fabelmans,0.0,1.0,0.0,0.0
2022,Michelle Yeoh,Evelyn Wang,Everything Everywhere All at Once,0.0,1.0,0.0,0.0
2023,Lily Gladstone,Mollie Kyle,Killers of the Flower Moon,0.0,1.0,0.0,0.0
2023,Sandra Hüller,Sandra Voyter,Anatomy of a Fall,0.0,1.0,0.0,0.0
2023,Greta Lee,Nora Moon / Moon Na-Young,Past Lives,0.0,1.0,0.0,0.0
2023,Carey Mulligan,Felicia Montealegre Bernstein,Maestro,0.0,1.0,0.0,0.0
2023,Margot Robbie,Barbie,Barbie,0.0,1.0,0.0,0.0
2023,Emma Stone,Bella Baxter,Poor Things,0.0,1.0,0.0,0.0
1995,Ed Harris (TIE),Gene Kranz,Apollo 13,0.0,0.0,1.0,0.0
1995,Kevin Spacey (TIE),"Roger ""Verbal"" Kint / Keyser Söze",The Usual Suspects,0.0,0.0,1.0,0.0
1996,Cuba Gooding Jr.,"Rodney ""Rod"" Tidwell",Jerry Maguire,0.0,0.0,1.0,0.0
1997,Anthony Hopkins,John Quincy Adams,Amistad,0.0,0.0,1.0,0.0
1998,Billy Bob Thornton,Jacob Mitchell,A Simple Plan,0.0,0.0,1.0,0.0
1999,Michael Clarke Duncan,John Coffey,The Green Mile,0.0,0.0,1.0,0.0
2000,Joaquin Phoenix,Commodus / Abbé du Coulmier / Willie Gutierrez,Gladiator / Quills / The Yards,0.0,0.0,1.0,0.0
2001,Ben Kingsley,Don Logan,Sexy Beast,0.0,0.0,1.0,0.0
2001,Jim Broadbent,John Bayley,Iris,0.0,0.0,1.0,0.0
2001,Jon Voight,Howard Cosell,Ali,0.0,0.0,1.0,0.0
2002,Chris Cooper,John Laroche,Adaptation.,0.0,0.0,1.0,0.0
2002,Alfred Molina,Diego Rivera,Frida,0.0,0.0,1.0,0.0
2002,Paul Newman,John Rooney,Road to Perdition,0.0,0.0,1.0,0.0
2003,Tim Robbins,Dave Boyle,Mystic River,0.0,0.0,1.0,0.0
2003,Alec Baldwin,Shelly Kaplow,The Cooler,0.0,0.0,1.0,0.0
2003,Paul Bettany,Dr. Stephen Marturin,Master and Commander: The Far Side of the World,0.0,0.0,1.0,0.0
2003,Benicio del Toro,Jack Jordan,21 Grams,0.0,0.0,1.0,0.0
2003,Ken Watanabe,Lord Moritsugu Katsumoto,The Last Samurai,0.0,0.0,1.0,0.0
2004,Thomas Haden Church,Jack Cole,Sideways,0.0,0.0,1.0,0.0
2004,Jamie Foxx,Max Durocher,Collateral,0.0,0.0,1.0,0.0
2004,Morgan Freeman,"Eddie ""Scrap Iron"" Dupris",Million Dollar Baby,0.0,0.0,1.0,0.0
2004,Clive Owen,Larry Gray,Closer,0.0,0.0,1.0,0.0
2004,Peter Sarsgaard,Clyde Martin,Kinsey,0.0,0.0,1.0,0.0
2005,Paul Giamatti,Joe Gould,Cinderella Man,0.0,0.0,1.0,0.0
2005,Matt Dillon,Sgt. John Ryan,Crash,0.0,0.0,1.0,0.0
2005,Terrence Howard,Cameron Thayer,Crash,0.0,0.0,1.0,0.0
2005,George Clooney,Bob Barnes,Syriana,0.0,0.0,1.0,0.0
2005,Kevin Costner,Denny Davies,The Upside of Anger,0.0,0.0,1.0,0.0
2005,Jake Gyllenhaal,Jack Twist,Brokeback Mountain,0.0,0.0,1.0,0.0
2006,Eddie Murphy,"James ""Thunder"" Early",Dreamgirls,0.0,0.0,1.0,0.0
2006,Ben Affleck,George Reeves,Hollywoodland,0.0,0.0,1.0,0.0
2006,Alan Arkin,Edwin Hoover,Little Miss Sunshine,0.0,0.0,1.0,0.0
2006,Adam Beach,Ira Hayes,Flags of Our Fathers,0.0,0.0,1.0,0.0
2006,Djimon Hounsou,Solomon Vandy,Blood Diamond,0.0,0.0,1.0,0.0
2006,Jack Nicholson,"Francis ""Frank"" Costello",The Departed,0.0,0.0,1.0,0.0
2007,Javier Bardem,Anton Chigurh,No Country for Old Men,0.0,0.0,1.0,0.0
2007,Casey Affleck,Robert Ford,The Assassination of Jesse James by the Coward Robert Ford,0.0,0.0,1.0,0.0
2007,Philip Seymour Hoffman,Gust Avrakotos,Charlie Wilson's War,0.0,0.0,1.0,0.0
2007,Hal Holbrook,Ron Franz,Into the Wild,0.0,0.0,1.0,0.0
2007,Tom Wilkinson,Arthur Edens,Michael Clayton,0.0,0.0,1.0,0.0
2008,Heath Ledger (posthumously),Joker,The Dark Knight,0.0,0.0,1.0,0.0
2008,Josh Brolin,Dan White,Milk,0.0,0.0,1.0,0.0
2008,James Franco,Scott Smith,Milk,0.0,0.0,1.0,0.0
2008,Robert Downey Jr.,Kirk Lazarus,Tropic Thunder,0.0,0.0,1.0,0.0
2008,Philip Seymour Hoffman,Father Brendan Flynn,Doubt,0.0,0.0,1.0,0.0
2009,Christoph Waltz,Col. Hans Landa,Inglourious Basterds,0.0,0.0,1.0,0.0
2009,Matt Damon,Francois Pienaar,Invictus,0.0,0.0,1.0,0.0
2009,Woody Harrelson,Cpt. Tony Stone,The Messenger,0.0,0.0,1.0,0.0
2009,Christian McKay,Orson Welles,Me and Orson Welles,0.0,0.0,1.0,0.0
2009,Alfred Molina,Jack Mellor,An Education,0.0,0.0,1.0,0.0
2009,Stanley Tucci,George Harvey,The Lovely Bones,0.0,0.0,1.0,0.0
2010,Christian Bale,"Richard ""Dicky"" Eklund Jr.",The Fighter,0.0,0.0,1.0,0.0
2010,Andrew Garfield,Eduardo Saverin,The Social Network,0.0,0.0,1.0,0.0
2010,Jeremy Renner,"James ""Jem"" Coughlin",The Town,0.0,0.0,1.0,0.0
2010,Sam Rockwell,Kenny Waters,Conviction,0.0,0.0,1.0,0.0
2010,Mark Ruffalo,Paul Hatfield,The Kids Are All Right,0.0,0.0,1.0,0.0
2010,Geoffrey Rush,Lionel Logue,The King's Speech,0.0,0.0,1.0,0.0
2011,Christopher Plummer,Hal Fields,Beginners,0.0,0.0,1.0,0.0
2011,Kenneth Branagh,Laurence Olivier,My Week with Marilyn,0.0,0.0,1.0,0.0
2011,Albert Brooks,Bernie Rose,Drive,0.0,0.0,1.0,0.0
2011,Nick Nolte,Paddy Conlon,Warrior,0.0,0.0,1.0,0.0
2011,Patton Oswalt,Matt Freehauf,Young Adult,0.0,0.0,1.0,0.0
2011,Andy Serkis,Caesar,Rise of the Planet of the Apes,0.0,0.0,1.0,0.0
2012,Philip Seymour Hoffman,Lancaster Dodd,The Master,0.0,0.0,1.0,0.0
2012,Alan Arkin,Lester Siegel,Argo,0.0,0.0,1.0,0.0
2012,Javier Bardem,Raoul Silva,Skyfall,0.0,0.0,1.0,0.0
2012,Robert De Niro,"Patrizio ""Pat"" Solitano, Sr.",Silver Linings Playbook,0.0,0.0,1.0,0.0
2012,Tommy Lee Jones,Thaddeus Stevens,Lincoln,0.0,0.0,1.0,0.0
2012,Matthew McConaughey,Dallas,Magic Mike,0.0,0.0,1.0,0.0
2013,Jared Leto,Rayon,Dallas Buyers Club,0.0,0.0,1.0,0.0
2013,Barkhad Abdi,Abduwali Muse,Captain Phillips,0.0,0.0,1.0,0.0
2013,Daniel Brühl,Niki Lauda,Rush,0.0,0.0,1.0,0.0
2013,Bradley Cooper,"FBI Agent Richard ""Richie"" DiMaso",American Hustle,0.0,0.0,1.0,0.0
2013,Michael Fassbender,Edwin Epps,12 Years a Slave,0.0,0.0,1.0,0.0
2013,James Gandolfini,Albert,Enough Said,0.0,0.0,1.0,0.0
2014,J. K. Simmons,Terence Fletcher,Whiplash,0.0,0.0,1.0,0.0
2014,Josh Brolin,"Lt. Det. Christian F. ""Bigfoot"" Bjornsen",Inherent Vice,0.0,0.0,1.0,0.0
2014,Robert Duvall,Judge Joseph Palmer,The Judge,0.0,0.0,1.0,0.0
2014,Ethan Hawke,Mason Evans Sr.,Boyhood,0.0,0.0,1.0,0.0
2014,Edward Norton,Mike Shiner,Birdman,0.0,0.0,1.0,0.0
2014,Mark Ruffalo,Dave Schultz,Foxcatcher,0.0,0.0,1.0,0.0
2015,Sylvester Stallone,Rocky Balboa,Creed,0.0,0.0,1.0,0.0
2015,Paul Dano,Brian Wilson,Love & Mercy,0.0,0.0,1.0,0.0
2015,Tom Hardy,John Fitzgerald,The Revenant,0.0,0.0,1.0,0.0
2015,Mark Ruffalo,Michael Rezendes,Spotlight,0.0,0.0,1.0,0.0
2015,Mark Rylance,Rudolf Abel,Bridge of Spies,0.0,0.0,1.0,0.0
2015,Michael Shannon,Rick Carver,99 Homes,0.0,0.0,1.0,0.0
2016,Mahershala Ali,Juan,Moonlight,0.0,0.0,1.0,0.0
2016,Jeff Bridges,Marcus Hamilton,Hell or High Water,0.0,0.0,1.0,0.0
2016,Ben Foster,Tanner Howard,Hell or High Water,0.0,0.0,1.0,0.0
2016,Lucas Hedges,Patrick Chandler,Manchester by the Sea,0.0,0.0,1.0,0.0
2016,Dev Patel,Saroo Brierley,Lion,0.0,0.0,1.0,0.0
2016,Michael Shannon,Detective Bobby Andes,Nocturnal Animals,0.0,0.0,1.0,0.0
2017,Sam Rockwell,Officer Jason Dixon,"Three Billboards Outside Ebbing, Missouri",0.0,0.0,1.0,0.0
2017,Armie Hammer,Oliver,Call Me by Your Name,0.0,0.0,1.0,0.0
2017,Michael Stuhlbarg,Mr. Perlman,Call Me by Your Name,0.0,0.0,1.0,0.0
2017,Willem Dafoe,Bobby Hicks,The Florida Project,0.0,0.0,1.0,0.0
2017,Richard Jenkins,Giles,The Shape of Water,0.0,0.0,1.0,0.0
2017,Patrick Stewart,Professor Charles Xavier,Logan,0.0,0.0,1.0,0.0
2018,Mahershala Ali,Don Shirley,Green Book,0.0,0.0,1.0,0.0
2018,Timothée Chalamet,Nic Sheff,Beautiful Boy,0.0,0.0,1.0,0.0
2018,Adam Driver,Flip Zimmerman,BlacKkKlansman,0.0,0.0,1.0,0.0
2018,Sam Elliott,Bobby Maine,A Star Is Born,0.0,0.0,1.0,0.0
2018,Richard E. Grant,Jack Hock,Can You Ever Forgive Me?,0.0,0.0,1.0,0.0
2018,Michael B. Jordan,"N'Jadaka / Erik ""Killmonger"" Stevens",Black Panther,0.0,0.0,1.0,0.0
2019,Brad Pitt,Cliff Booth,Once Upon a Time in Hollywood,0.0,0.0,1.0,0.0
2019,Al Pacino,Jimmy Hoffa,The Irishman,0.0,0.0,1.0,0.0
2019,Joe Pesci,Russell Bufalino,The Irishman,0.0,0.0,1.0,0.0
2019,Willem Dafoe,Thomas Wake,The Lighthouse,0.0,0.0,1.0,0.0
2019,Tom Hanks,Fred Rogers,A Beautiful Day in the Neighborhood,0.0,0.0,1.0,0.0
2019,Anthony Hopkins,Pope Benedict XVI,The Two Popes,0.0,0.0,1.0,0.0
2020,Daniel Kaluuya,Fred Hampton,Judas and the Black Messiah,0.0,0.0,1.0,0.0
2020,Sacha Baron Cohen,Abbie Hoffman,The Trial of the Chicago 7,0.0,0.0,1.0,0.0
2020,Chadwick Boseman,"""Stormin'"" Norman Earl Holloway",Da 5 Bloods,0.0,0.0,1.0,0.0
2020,Bill Murray,Felix Keane,On the Rocks,0.0,0.0,1.0,0.0
2020,Leslie Odom Jr.,Sam Cooke,One Night in Miami...,0.0,0.0,1.0,0.0
2020,Paul Raci,Joe,Sound of Metal,0.0,0.0,1.0,0.0
2021,Troy Kotsur,Frank Rossi,CODA,0.0,0.0,1.0,0.0
2021,Jamie Dornan,Pa,Belfast,0.0,0.0,1.0,0.0
2021,Ciarán Hinds,Pop,Belfast,0.0,0.0,1.0,0.0
2021,Jared Leto,Paolo Gucci,House of Gucci,0.0,0.0,1.0,0.0
2021,J. K. Simmons,William Frawley,Being the Ricardos,0.0,0.0,1.0,0.0
2021,Kodi Smit-McPhee,Peter Gordon,The Power of the Dog,0.0,0.0,1.0,0.0
2022,Ke Huy Quan,Waymond Wang,Everything Everywhere All at Once,0.0,0.0,1.0,0.0
2022,Judd Hirsch,Boris Podgorny,The Fabelmans,0.0,0.0,1.0,0.0
2022,Paul Dano,Burt Fabelman,The Fabelmans,0.0,0.0,1.0,0.0
2022,Brendan Gleeson,Colm Doherty,The Banshees of Inisherin,0.0,0.0,1.0,0.0
2022,Barry Keoghan,Dominic Kearney,The Banshees of Inisherin,0.0,0.0,1.0,0.0
2022,Brian Tyree Henry,James,Causeway,0.0,0.0,1.0,0.0
2023,Sterling K. Brown,"Clifford ""Cliff"" Ellison",American Fiction,0.0,0.0,1.0,0.0
2023,Robert De Niro,William King Hale,Killers of the Flower Moon,0.0,0.0,1.0,0.0
2023,Robert Downey Jr.,Lewis Strauss,Oppenheimer,0.0,0.0,1.0,0.0
2023,Ryan Gosling,Ken,Barbie,0.0,0.0,1.0,0.0
2023,Charles Melton,Joe Yoo,May December,0.0,0.0,1.0,0.0
2023,Mark Ruffalo,Duncan Wedderburn,Poor Things,0.0,0.0,1.0,0.0
1995,Mira Sorvino,Linda Ash,Mighty Aphrodite,0.0,0.0,0.0,1.0
1996,Joan Allen,Elizabeth Proctor,The Crucible,0.0,0.0,0.0,1.0
1997,Joan Cusack,Emily Montgomery,In & Out,0.0,0.0,0.0,1.0
1998,Joan Allen (TIE),Betty Parker,Pleasantville,0.0,0.0,0.0,1.0
1998,Kathy Bates (TIE),Libby Holden,Primary Colors,0.0,0.0,0.0,1.0
1999,Angelina Jolie,Lisa Rowe,"Girl, Interrupted",0.0,0.0,0.0,1.0
2000,Frances McDormand,,Almost Famous / Wonder Boys,0.0,0.0,0.0,1.0
2001,Jennifer Connelly,,A Beautiful Mind,0.0,0.0,0.0,1.0
2001,Cameron Diaz,,Vanilla Sky,0.0,0.0,0.0,1.0
2001,Marisa Tomei,,In the Bedroom,0.0,0.0,0.0,1.0
2002,Catherine Zeta-Jones,,Chicago,0.0,0.0,0.0,1.0
2002,Kathy Bates,,About Schmidt,0.0,0.0,0.0,1.0
2002,Meryl Streep,,Adaptation.,0.0,0.0,0.0,1.0
2003,Renée Zellweger,,Cold Mountain,0.0,0.0,0.0,1.0
2003,Patricia Clarkson,,Pieces of April,0.0,0.0,0.0,1.0
2003,Marcia Gay Harden,,Mystic River,0.0,0.0,0.0,1.0
2003,Holly Hunter,,Thirteen,0.0,0.0,0.0,1.0
2003,Scarlett Johansson,,Lost in Translation,0.0,0.0,0.0,1.0
2004,Virginia Madsen,,Sideways,0.0,0.0,0.0,1.0
2004,Cate Blanchett,,The Aviator,0.0,0.0,0.0,1.0
2004,Laura Linney,,Kinsey,0.0,0.0,0.0,1.0
2004,Natalie Portman,,Closer,0.0,0.0,0.0,1.0
2004,Kate Winslet,,Finding Neverland,0.0,0.0,0.0,1.0
2005,Amy Adams (TIE),,Junebug,0.0,0.0,0.0,1.0
2005,Michelle Williams (TIE),,Brokeback Mountain,0.0,0.0,0.0,1.0
2005,Maria Bello,,A History of Violence,0.0,0.0,0.0,1.0
2005,Catherine Keener,,Capote,0.0,0.0,0.0,1.0
2005,Frances McDormand,,North Country,0.0,0.0,0.0,1.0
2005,Rachel Weisz,,The Constant Gardener,0.0,0.0,0.0,1.0
2006,Jennifer Hudson,,Dreamgirls,0.0,0.0,0.0,1.0
2006,Adriana Barraza,,Babel,0.0,0.0,0.0,1.0
2006,Rinko Kikuchi,,Babel,0.0,0.0,0.0,1.0
2006,Cate Blanchett,,Notes on a Scandal,0.0,0.0,0.0,1.0
2006,Catherine O'Hara,,For Your Consideration,0.0,0.0,0.0,1.0
2006,Emma Thompson,,Stranger than Fiction,0.0,0.0,0.0,1.0
2007,Amy Ryan,,Gone Baby Gone,0.0,0.0,0.0,1.0
2007,Cate Blanchett,,I'm Not There,0.0,0.0,0.0,1.0
2007,Catherine Keener,,Into the Wild,0.0,0.0,0.0,1.0
2007,Vanessa Redgrave,,Atonement,0.0,0.0,0.0,1.0
2007,Tilda Swinton,,Michael Clayton,0.0,0.0,0.0,1.0
2008,Kate Winslet,,The Reader,0.0,0.0,0.0,1.0
2008,Penélope Cruz,,Vicky Cristina Barcelona,0.0,0.0,0.0,1.0
2008,Viola Davis,,Doubt,0.0,0.0,0.0,1.0
2008,Vera Farmiga,,Nothing but the Truth,0.0,0.0,0.0,1.0
2008,Taraji P. Henson,,The Curious Case of Benjamin Button,0.0,0.0,0.0,1.0
2008,Marisa Tomei,,The Wrestler,0.0,0.0,0.0,1.0
2009,Mo'Nique,,Precious,0.0,0.0,0.0,1.0
2009,Vera Farmiga,,Up in the Air,0.0,0.0,0.0,1.0
2009,Anna Kendrick,,Up in the Air,0.0,0.0,0.0,1.0
2009,Marion Cotillard,,Nine,0.0,0.0,0.0,1.0
2009,Julianne Moore,,A Single Man,0.0,0.0,0.0,1.0
2009,Samantha Morton,,The Messenger,0.0,0.0,0.0,1.0
2010,Melissa Leo,Alice Eklund-Ward,The Fighter,0.0,0.0,0.0,1.0
2010,Helena Bonham Carter,Queen Elizabeth,The King's Speech,0.0,0.0,0.0,1.0
2010,Mila Kunis,Lily,Black Swan,0.0,0.0,0.0,1.0
2010,Amy Adams,Charlene Fleming,The Fighter,0.0,0.0,0.0,1.0
2010,Hailee Steinfeld,Mattie Ross,True Grit,0.0,0.0,0.0,1.0
2010,Jacki Weaver,"Janine ""Smurf"" Cody",Animal Kingdom,0.0,0.0,0.0,1.0
2011,Octavia Spencer,Minny Jackson,The Help,0.0,0.0,0.0,1.0
2011,Jessica Chastain,Celia Foote,The Help,0.0,0.0,0.0,1.0
2011,Bérénice Bejo,Peppy Miller,The Artist,0.0,0.0,0.0,1.0
2011,Carey Mulligan,Sissy Sullivan,Shame,0.0,0.0,0.0,1.0
2011,Melissa McCarthy,Megan Price,Bridesmaids,0.0,0.0,0.0,1.0
2011,Shailene Woodley,"Alexandra ""Alex"" King",The Descendants,0.0,0.0,0.0,1.0
2012,Anne Hathaway,Fantine,Les Misérables,0.0,0.0,0.0,1.0
2012,Amy Adams,Peggy Dodd,The Master,0.0,0.0,0.0,1.0
2012,Judi Dench,M,Skyfall,0.0,0.0,0.0,1.0
2012,Ann Dowd,Sandra,Compliance,0.0,0.0,0.0,1.0
2012,Sally Field,Mary Todd Lincoln,Lincoln,0.0,0.0,0.0,1.0
2012,Helen Hunt,Cheryl Cohen-Greene,The Sessions,0.0,0.0,0.0,1.0
2013,Lupita Nyong'o,Patsey,12 Years a Slave,0.0,0.0,0.0,1.0
2013,Scarlett Johansson,Samantha (voice),Her,0.0,0.0,0.0,1.0
2013,Jennifer Lawrence,Rosalyn Rosenfeld,American Hustle,0.0,0.0,0.0,1.0
2013,Julia Roberts,Barbara Weston-Fordham,August: Osage County,0.0,0.0,0.0,1.0
2013,June Squibb,Kate Grant,Nebraska,0.0,0.0,0.0,1.0
2013,Oprah Winfrey,Gloria Gaines,The Butler,0.0,0.0,0.0,1.0
2014,Patricia Arquette,Olivia Evans,Boyhood,0.0,0.0,0.0,1.0
2014,Jessica Chastain,Anna Morales,A Most Violent Year,0.0,0.0,0.0,1.0
2014,Keira Knightley,Joan Clarke,The Imitation Game,0.0,0.0,0.0,1.0
2014,Emma Stone,Sam Thomson,Birdman,0.0,0.0,0.0,1.0
2014,Meryl Streep,The Witch,Into the Woods,0.0,0.0,0.0,1.0
2014,Tilda Swinton,Minister Mason,Snowpiercer,0.0,0.0,0.0,1.0
2015,Alicia Vikander,Gerda Wegener,The Danish Girl,0.0,0.0,0.0,1.0
2015,Jennifer Jason Leigh,Daisy Domergue,The Hateful Eight,0.0,0.0,0.0,1.0
2015,Rooney Mara,Therese Belivet,Carol,0.0,0.0,0.0,1.0
2015,Rachel McAdams,Sacha Pfeiffer,Spotlight,0.0,0.0,0.0,1.0
2015,Helen Mirren,Hedda Hopper,Trumbo,0.0,0.0,0.0,1.0
2015,Kate Winslet,Joanna Hoffman,Steve Jobs,0.0,0.0,0.0,1.0
2016,Viola Davis,Rose Maxson,Fences,0.0,0.0,0.0,1.0
2016,Greta Gerwig,"Abigail ""Abbie"" Porter",20th Century Women,0.0,0.0,0.0,1.0
2016,Naomie Harris,Paula,Moonlight,0.0,0.0,0.0,1.0
2016,Nicole Kidman,Sue Brierley,Lion,0.0,0.0,0.0,1.0
2016,Janelle Monáe,Mary Jackson,Hidden Figures,0.0,0.0,0.0,1.0
2016,Michelle Williams,Randi Chandler,Manchester by the Sea,0.0,0.0,0.0,1.0
2017,Allison Janney,LaVona Golden,"I, Tonya",0.0,0.0,0.0,1.0
2017,Mary J. Blige,Florence Jackson,Mudbound,0.0,0.0,0.0,1.0
2017,Hong Chau,Ngoc Lan Tran,Downsizing,0.0,0.0,0.0,1.0
2017,Tiffany Haddish,Dina,Girls Trip,0.0,0.0,0.0,1.0
2017,Holly Hunter,Beth Gardner,The Big Sick,0.0,0.0,0.0,1.0
2017,Laurie Metcalf,Marion McPherson,Lady Bird,0.0,0.0,0.0,1.0
2017,Octavia Spencer,Zelda Delilah Fuller,The Shape of Water,0.0,0.0,0.0,1.0
2018,Regina King,Sharon Rivers,If Beale Street Could Talk,0.0,0.0,0.0,1.0
2018,Emma Stone,Abigail Masham,The Favourite,0.0,0.0,0.0,1.0
2018,Rachel Weisz,Sarah Churchill,The Favourite,0.0,0.0,0.0,1.0
2018,Amy Adams,Lynne Cheney,Vice,0.0,0.0,0.0,1.0
2018,Claire Foy,Janet Armstrong,First Man,0.0,0.0,0.0,1.0
2018,Nicole Kidman,Nancy Eamons,Boy Erased,0.0,0.0,0.0,1.0
2019,Laura Dern,Nora Fanshaw,Marriage Story,0.0,0.0,0.0,1.0
2019,Scarlett Johansson,Rosie Betzler,Jojo Rabbit,0.0,0.0,0.0,1.0
2019,Jennifer Lopez,Ramona Vega,Hustlers,0.0,0.0,0.0,1.0
2019,Florence Pugh,Amy March,Little Women,0.0,0.0,0.0,1.0
2019,Margot Robbie,Kayla Pospisil,Bombshell,0.0,0.0,0.0,1.0
2019,Zhao Shu-zhen,Nai Nai,The Farewell,0.0,0.0,0.0,1.0
2020,Maria Bakalova,Tutar Sagdiyev,Borat Subsequent Moviefilm,0.0,0.0,0.0,1.0
2020,Ellen Burstyn,Elizabeth Weiss,Pieces of a Woman,0.0,0.0,0.0,1.0
2020,Glenn Close,"Bonnie ""Mamaw"" Vance",Hillbilly Elegy,0.0,0.0,0.0,1.0
2020,Amanda Seyfried,Marion Davies,Mank,0.0,0.0,0.0,1.0
2020,Olivia Colman,Anne,The Father,0.0,0.0,0.0,1.0
2020,Youn Yuh-jung,Soon-ja,Minari,0.0,0.0,0.0,1.0
2021,Ariana DeBose,Anita,West Side Story,0.0,0.0,0.0,1.0
2021,Caitríona Balfe,Ma,Belfast,0.0,0.0,0.0,1.0
2021,Kirsten Dunst,Rose Gordon,The Power of the Dog,0.0,0.0,0.0,1.0
2021,Ann Dowd,Linda,Mass,0.0,0.0,0.0,1.0
2021,Aunjanue Ellis,"Oracene ""Brandy"" Price",King Richard,0.0,0.0,0.0,1.0
2021,Rita Moreno,Valentina,West Side Story,0.0,0.0,0.0,1.0
2022,Angela Bassett,Queen Ramonda,Black Panther: Wakanda Forever,0.0,0.0,0.0,1.0
2022,Jessie Buckley,Mariche,Women Talking,0.0,0.0,0.0,1.0
2022,Kerry Condon,Siobhán Súilleabháin,The Banshees of Inisherin,0.0,0.0,0.0,1.0
2022,Jamie Lee Curtis,Deirdre Beaubeirdre,Everything Everywhere All at Once,0.0,0.0,0.0,1.0
2022,Stephanie Hsu,Joy Wang / Jobu Tupaki,Everything Everywhere All at Once,0.0,0.0,0.0,1.0
2022,Janelle Monáe,"Cassandra ""Andi"" Brand / Helen Brand",Glass Onion: A Knives Out Mystery,0.0,0.0,0.0,1.0
2023,Emily Blunt,"Katherine ""Kitty"" Oppenheimer",Oppenheimer,0.0,0.0,0.0,1.0
2023,Danielle Brooks,Sofia Johnson,The Color Purple,0.0,0.0,0.0,1.0
2023,America Ferrera,Gloria,Barbie,0.0,0.0,0.0,1.0
2023,Jodie Foster,Bonnie Stoll,Nyad,0.0,0.0,0.0,1.0
2023,Julianne Moore,Gracie Atherton-Yoo,May December,0.0,0.0,0.0,1.0
2023,Da'Vine Joy Randolph,Mary Lamb,The Holdovers,0.0,0.0,0.0,1.0
